87579972324951; 0.344656; -0.165006; 0.110917; 0.172239; 0.140332; -0.330087; -33.968495; 18.468812; 32.400002; 0
87579977299316; 0.114504; -0.271975; -0.084285; 0.274994; -0.073288; -0.114858; -33.968495; 18.468812; 32.400002; 0
87579982670410; 0.134517; 0.062958; -0.053345; -0.059581; -0.041980; -0.139971; -33.968495; 18.468812; 32.400002; 0
87579987278564; 0.491493; 0.318877; -0.260026; -0.306175; -0.218662; -0.518947; -33.968495; 18.468812; 32.400002; 0
87579992283447; 0.206205; 0.060009; -0.068951; -0.054928; -0.051588; -0.212597; -33.968495; 18.468812; 32.400002; 0
87579997257812; 0.285830; -0.063458; 0.156497; 0.068932; 0.180208; -0.270167; -33.968495; 18.468812; 32.400002; 0
87580002262695; 0.248439; 0.165617; -0.006651; -0.159988; 0.013509; -0.251826; -33.968495; 18.468812; 32.400002; 0
87580007237060; 0.020261; 0.175453; -0.077475; -0.174477; -0.076265; -0.030625; -33.968495; 18.468812; 32.400002; 0
87580012608154; 0.220173; 0.052639; -0.044363; -0.047128; -0.026022; -0.224315; -33.968495; 18.468812; 32.400002; 0
87580017246826; 0.186249; 0.028101; -0.181094; -0.022529; -0.165069; -0.201292; -33.968495; 18.468812; 32.400002; 0
87580022221191; 0.089711; 0.106011; 0.067997; -0.104343; 0.074721; -0.086251; -33.968495; 18.468812; 32.400002; 0
87580027226074; 0.204696; 0.369972; -0.030978; -0.364867; -0.015600; -0.215331; -33.968495; 18.468812; 32.400002; 0
87580032200439; -0.137005; 0.286798; 0.312856; -0.290516; 0.298493; 0.159388; -33.968495; 18.468812; 32.400002; 0
87580037205322; 0.398043; 0.185179; 0.367080; -0.183975; 0.397511; -0.368261; -33.968495; 18.468812; 32.400002; 0
87580042545898; -0.159975; 0.048637; 0.004101; -0.050268; -0.009486; 0.159241; -33.968495; 18.468812; 32.400002; 0
87580047184570; -0.276001; -0.067697; 0.209607; 0.063296; 0.186465; 0.293119; -33.968495; 18.468812; 32.400002; 0
